fid_master,name,fid_link,guess_link
DATAGOV-22228@134010,南庄溪,,
DATAGOV-22228@134020,南河溪,,WIKIDATA-1@Q62151379
DATAGOV-22228@134030,東河溪,,
DATAGOV-22228@134040,峨嵋溪,,
DATAGOV-22228@134041,大坪溪,,WIKIDATA-1@Q32721445
DATAGOV-22228@134050,南港溪,,WIKIDATA-1@Q10908511|WIKIDATA-1@Q10908512
DATAGOV-22228@135000,後龍溪,,WIKIDATA-1@Q11070260
DATAGOV-22228@135010,大湖溪,,WIKIDATA-1@Q32715961|WIKIDATA-1@Q32715956
DATAGOV-22228@135020,南湖溪,,WIKIDATA-1@Q10908561
DATAGOV-22228@135030,汶水溪,,WIKIDATA-1@Q15949604|WIKIDATA-1@Q34856417
DATAGOV-22228@135040,鹽水坑溪,,WIKIDATA-1@Q34955681
DATAGOV-22228@135050,雞隆河,,
DATAGOV-22228@135060,沙河溪,,WIKIDATA-1@Q64358787
DATAGOV-22228@135061,打馬溝溪,,WIKIDATA-1@Q64358791
DATAGOV-22228@135062,飛鳳溪,,WIKIDATA-1@Q64358797
DATAGOV-22228@135070,老田寮溪,,WIKIDATA-1@Q15927554
DATAGOV-22228@135071,拔仔崗溪,,
DATAGOV-22228@135080,新店溪,,
DATAGOV-22228@136000,西湖溪,,WIKIDATA-1@Q15921248|WIKIDATA-1@Q34945326|WIKIDATA-1@Q34945338
DATAGOV-22228@137000,通霄溪,,WIKIDATA-1@Q17059229
DATAGOV-22228@138000,苑裡溪,,WIKIDATA-1@Q17030150
DATAGOV-22228@139000,房裡溪,,WIKIDATA-1@Q11075505|WIKIDATA-1@Q32751827
DATAGOV-22228@140000,大安溪,,WIKIDATA-1@Q278671
DATAGOV-22228@140010,馬達拉溪,,WIKIDATA-1@Q35437685
DATAGOV-22228@140020,雪山溪,,WIKIDATA-1@Q34946586
DATAGOV-22228@140030,大雪溪,,WIKIDATA-1@Q32724369|WIKIDATA-1@Q32724373
DATAGOV-22228@140040,北坑溪,,LASS-1@nan|WIKIDATA-1@Q32475284|WIKIDATA-1@Q32475279
DATAGOV-22228@140050,雪山坑溪,,WIKIDATA-1@Q34946605
DATAGOV-22228@140060,烏石坑溪,,WIKIDATA-1@Q34940259
DATAGOV-22228@140070,景山溪,,WIKIDATA-1@Q64358845
DATAGOV-22228@141000,溫寮溪,,WIKIDATA-1@Q16929083
DATAGOV-22228@142000,大甲溪,,WIKIDATA-1@Q714246
DATAGOV-22228@142010,七家灣溪,,WIKIDATA-1@Q10864577|WIKIDATA-1@Q35331819
DATAGOV-22228@142020,四季郎溪,,
DATAGOV-22228@142030,志樂溪,,
DATAGOV-22228@142040,匹亞桑溪,,
DATAGOV-22228@142050,食水嵙溪排水,,ORG-1@367
DATAGOV-22228@143000,烏溪,,WIKIDATA-1@Q5208125|WIKIDATA-1@Q34940370
DATAGOV-22228@143010,北港溪,,ORG-1@314|WIKIDATA-1@Q475758|WIKIDATA-1@Q32475192|WIKIDATA-1@Q32475201|WIKIDATA-1@Q32475205
DATAGOV-22228@143011,水長流溪,,
DATAGOV-22228@143020,南港溪,,
DATAGOV-22228@143030,眉溪,,WIKIDATA-1@Q15945013
DATAGOV-22228@143040,貓羅溪,,WIKIDATA-1@Q3845177
DATAGOV-22228@143041,平林溪,,
DATAGOV-22228@143042,樟平溪,,
DATAGOV-22228@143043,隘寮溪排水,,ORG-1@27
DATAGOV-22228@143050,大里溪,,WIKIDATA-1@Q10938249
DATAGOV-22228@143051,大坑溪,,ORG-1@305|WIKIDATA-1@Q10934411|WIKIDATA-1@Q32716656|WIKIDATA-1@Q32716667|WIKIDATA-1@Q32716672|WIKIDATA-1@Q32716686|WIKIDATA-1@Q32716691
DATAGOV-22228@143052,廍子溪,,WIKIDATA-1@Q11064256
DATAGOV-22228@143053,旱溪,,WIKIDATA-1@Q11087132
DATAGOV-22228@143054,頭汴坑溪,,WIKIDATA-1@Q15938499|WIKIDATA-1@Q87238766
DATAGOV-22228@143055,草湖溪,,WIKIDATA-1@Q15932642
DATAGOV-22228@143056,旱溪排水,,ORG-1@13|WIKIDATA-1@Q87227748
DATAGOV-22228@143059,烏牛欄溪,,
DATAGOV-22228@143060,筏子溪,,WIKIDATA-1@Q15902373|WIKIDATA-1@Q32752007
DATAGOV-22228@143061,港尾子溪排水,,ORG-1@22
DATAGOV-22228@143070,同安厝排水,,ORG-1@21|WIKIDATA-1@Q87240608
DATAGOV-22228@144000,萬寮溪,,
DATAGOV-22228@145000,洋仔厝溪,,WIKIDATA-1@Q21041637|WIKIDATA-1@Q34954959
DATAGOV-22228@146000,員林大排水,,WIKIDATA-2@Q34748043|WIKIDATA-2@Q34748050
DATAGOV-22228@147000,舊濁水溪,,
DATAGOV-22228@148000,萬興排水幹線,,ORG-1@1005
DATAGOV-22228@149000,二林溪,,WIKIDATA-1@Q32751107
DATAGOV-22228@150000,魚寮溪,,
DATAGOV-22228@151010,陳有蘭溪,,WIKIDATA-1@Q15907177|WIKIDATA-1@Q32636945
DATAGOV-22228@151011,和社溪,,
DATAGOV-22228@151012,沙里仙溪,,
DATAGOV-22228@151013,阿里不動,,
DATAGOV-22228@151014,筆石溪,,
DATAGOV-22228@151015,十八重溪,,
DATAGOV-22228@151016,內茅埔溪,,
DATAGOV-22228@151017,郡坑溪,,
DATAGOV-22228@151018,蒼庫溪,,WIKIDATA-1@Q32584617
DATAGOV-22228@151020,清水溪,,WIKIDATA-1@Q21041642|WIKIDATA-1@Q21041643|WIKIDATA-1@Q35332091|WIKIDATA-1@Q35332106|WIKIDATA-1@Q35332120|WIKIDATA-1@Q35332134|WIKIDATA-1@Q35332148|WIKIDATA-1@Q35332162|WIKIDATA-1@Q35332176|WIKIDATA-1@Q35332190|WIKIDATA-1@Q35332204|WIKIDATA-1@Q35332218|WIKIDATA-1@Q35332232|WIKIDATA-1@Q35332245
DATAGOV-22228@151021,阿里山溪,,WIKIDATA-1@Q32208910
DATAGOV-22228@151022,加走寮溪,,WIKIDATA-1@Q9476041
DATAGOV-22228@151023,內田子溪,,
DATAGOV-22228@151024,過溪,,
DATAGOV-22228@151025,雷公坑溪,,
DATAGOV-22228@151030,東埔蚋溪,,WIKIDATA-1@Q11103213|WIKIDATA-1@Q32740519
DATAGOV-22228@151040,萬大溪,,WIKIDATA-1@Q7967136|WIKIDATA-1@Q34828380
DATAGOV-22228@151050,卡社溪,,WIKIDATA-1@Q6374222|WIKIDATA-1@Q35343614
DATAGOV-22228@151060,郡大溪,,WIKIDATA-1@Q17026280
DATAGOV-22228@151061,巒大溪,,WIKIDATA-1@Q35386721|WIKIDATA-1@Q35386706
DATAGOV-22228@151070,丹大溪,,WIKIDATA-1@Q10877284|WIKIDATA-1@Q32720091
DATAGOV-22228@151080,卓棍溪,,
DATAGOV-22228@151090,水里溪,,WIKIDATA-1@Q3959849
DATAGOV-22228@152000,新虎尾溪,,WIKIDATA-1@Q11084280
DATAGOV-22228@153000,舊虎尾溪,,ORG-1@1230|WIKIDATA-1@Q21041670
DATAGOV-22228@154000,北港溪,,
DATAGOV-22228@154010,虎尾溪,,WIKIDATA-1@Q15929455
DATAGOV-22228@154011,石榴班溪,,
DATAGOV-22228@154012,大埔溪,,WIKIDATA-1@Q32714237
DATAGOV-22228@154013,海豐崙溪,,
DATAGOV-22228@154014,乾溪,,WIKIDATA-1@Q32753834|WIKIDATA-1@Q32753835|WIKIDATA-1@Q32753830|WIKIDATA-1@Q32753833|WIKIDATA-1@Q32753836|WIKIDATA-1@Q32753837
DATAGOV-22228@154015,雲林溪,,
DATAGOV-22228@154019,石子坑溪,,
DATAGOV-22228@154020,三疊溪,,WIKIDATA-1@Q7416346
DATAGOV-22228@154021,九芎坑溪,,
DATAGOV-22228@154022,石龜溪,,
DATAGOV-22228@154023,興安排水,,ORG-1@28
DATAGOV-22228@154030,大湖口溪,,WIKIDATA-1@Q7675688
DATAGOV-22228@154040,石牛溪,,
DATAGOV-22228@154041,崙子溪,,WIKIDATA-1@Q35406019
DATAGOV-22228@155000,朴子溪,,WIKIDATA-1@Q11094995
DATAGOV-22228@155010,牛稠溪,,
DATAGOV-22228@155020,阿拔泉溪,,
DATAGOV-22228@155030,崎腳溪,,WIKIDATA-1@Q35331805
DATAGOV-22228@155040,白樹腳溪,,WIKIDATA-1@Q32429498
DATAGOV-22228@155041,東廣寮溪,,
DATAGOV-22228@155050,濁水溪,,
DATAGOV-22228@155051,番子路科溪,,
DATAGOV-22228@155052,清水溪,,
DATAGOV-22228@155056,頂埔溪,,
DATAGOV-22228@155060,獅子頭溪,,
DATAGOV-22228@155070,嘉義排水,,ORG-1@31|WIKIDATA-1@Q87239758
DATAGOV-22228@155080,麻魚寮排水,,
DATAGOV-22228@155081,埤麻腳排水,,ORG-1@33|WIKIDATA-1@Q87241798
DATAGOV-22228@156000,內田排水排水路,,ORG-1@1449
DATAGOV-22228@157000,龍宮溪,,
DATAGOV-22228@158000,八掌溪,,WIKIDATA-1@Q699075|WIKIDATA-1@Q32471485
DATAGOV-22228@158010,赤蘭溪,,WIKIDATA-1@Q32643511
DATAGOV-22228@158011,澐水溪,,
DATAGOV-22228@158015,石?溪,,
DATAGOV-22228@158021,牛稠埔坑溪,,
DATAGOV-22228@158030,湖子內排水(在來排水),,
DATAGOV-22228@158040,後庄排水(隆恩排水),,
DATAGOV-22228@159000,急水溪,,WIKIDATA-1@Q8007897
DATAGOV-22228@159010,龜重溪,,WIKIDATA-1@Q5614745
DATAGOV-22228@159011,鹿寮溪,,WIKIDATA-1@Q35400187|WIKIDATA-1@Q35400200|WIKIDATA-1@Q35400175
DATAGOV-22228@159012,茄苳溪,,
DATAGOV-22228@159020,白水溪,,WIKIDATA-1@Q4848687
DATAGOV-22228@159021,仙草埔溪,,
DATAGOV-22228@159030,六重溪,,WIKIDATA-1@Q35331395
DATAGOV-22228@160000,將軍溪排水,,ORG-1@906
DATAGOV-22228@161000,劉厝排水,,ORG-1@936|ORG-1@1279
DATAGOV-22228@161010,大塭寮排水,,ORG-1@937
DATAGOV-22228@163000,曾文溪,,WIKIDATA-1@Q697324
DATAGOV-22228@163010,後堀溪,,WIKIDATA-1@Q10296269
DATAGOV-22228@163020,菜寮溪,,WIKIDATA-1@Q32579735
DATAGOV-22228@163030,密枝溪,,
DATAGOV-22228@163040,油車溪,,
DATAGOV-22228@163041,灣丘溪,,WIKIDATA-1@Q34830185
DATAGOV-22228@163050,後旦溪,,
DATAGOV-22228@163060,官田溪,,
DATAGOV-22228@164000,鹿耳門溪,,WIKIDATA-1@Q35386020
DATAGOV-22228@164010,學甲寮中排,,
DATAGOV-22228@164020,溪南寮排水,,ORG-1@1066|ORG-1@1098
DATAGOV-22228@164030,溪筏港之一排水,,
DATAGOV-22228@164040,溪筏港之二排水,,
DATAGOV-22228@164050,土城排水,,
DATAGOV-22228@164060,土城仔小排一之三,,
DATAGOV-22228@165000,鹽水溪,,WIKIDATA-1@Q8007924|WIKIDATA-1@Q34955653|WIKIDATA-1@Q34955665
DATAGOV-22228@165010,虎頭溪排水,,ORG-1@959
DATAGOV-22228@165020,許縣溪,,WIKIDATA-1@Q34946727
DATAGOV-22228@165030,那(草字部)菝林溪,,
DATAGOV-22228@165040,大洲排水,,ORG-1@39|ORG-1@1094
DATAGOV-22228@165050,柴頭港溪排水,,ORG-1@40|ORG-1@1092
DATAGOV-22228@165060,鹽水溪排水,,ORG-1@37|WIKIDATA-1@Q87225751
DATAGOV-22228@165061,曾文溪排水,,ORG-1@38|ORG-1@1095
DATAGOV-22228@165062,安順寮排水,,ORG-1@41|ORG-1@1068
DATAGOV-22228@166000,二仁溪,,WIKIDATA-1@Q700777
DATAGOV-22228@166010,三爺溪排水,,ORG-1@35
DATAGOV-22228@166011,西機場排水,,ORG-1@36
DATAGOV-22228@166020,牛稠埔溪,,
DATAGOV-22228@166030,松子腳溪,,WIKIDATA-1@Q35296342
DATAGOV-22228@166040,深坑子溪,,
DATAGOV-22228@166050,港尾溝排水,,
DATAGOV-22228@167000,阿公店溪,,WIKIDATA-1@Q4693348|WIKIDATA-1@Q32168745
DATAGOV-22228@167010,濁水溪,,
DATAGOV-22228@167020,旺萊溪,,
DATAGOV-22228@167030,土庫排水,,ORG-1@1105
DATAGOV-22228@167040,岡山溪,,
DATAGOV-22228@168000,典寶溪排水,,ORG-1@42|ORG-1@1301|ORG-1@1315
DATAGOV-22228@169000,後勁溪,,WIKIDATA-1@Q11070207
DATAGOV-22228@170000,愛河,,WIKIDATA-1@Q697957
DATAGOV-22228@171000,前鎮河,,
DATAGOV-22228@172000,鹽水港溪,,
DATAGOV-22228@173000,高屏溪,,WIKIDATA-1@Q57256|WIKIDATA-1@Q32755538
DATAGOV-22228@173010,荖濃溪,,WIKIDATA-1@Q6487931
DATAGOV-22228@173011,濁口溪,,WIKIDATA-1@Q2052526
DATAGOV-22228@173012,寶來溪,,WIKIDATA-1@Q10956041|WIKIDATA-1@Q32446754
DATAGOV-22228@173020,隘寮溪,,WIKIDATA-1@Q4697063|WIKIDATA-1@Q32172836|WIKIDATA-1@Q32172853|WIKIDATA-1@Q32172870|WIKIDATA-1@Q60996807
DATAGOV-22228@173021,武洛溪,,WIKIDATA-1@Q8039221
DATAGOV-22228@173022,隘寮北溪,,WIKIDATA-1@Q32172801
DATAGOV-22228@173023,隘寮南溪,,WIKIDATA-1@Q32172819
DATAGOV-22228@173030,旗山溪,,WIKIDATA-1@Q57377|WIKIDATA-1@Q35332441
DATAGOV-22228@173031,口隘溪,,
DATAGOV-22228@173032,美濃溪,,WIKIDATA-1@Q15920985
DATAGOV-22228@173033,武鹿溪,,WIKIDATA-1@Q34939584
DATAGOV-22228@173034,吉洋排水,,ORG-1@45|WIKIDATA-1@Q87229504
DATAGOV-22228@173035,外六寮排水,,ORG-1@43|WIKIDATA-1@Q87224337
DATAGOV-22228@174000,東港溪,,WIKIDATA-1@Q5295896|WIKIDATA-1@Q32740545
DATAGOV-22228@174010,牛角灣溪,,WIKIDATA-1@Q24840814
DATAGOV-22228@174020,萬安溪,,WIKIDATA-1@Q34828163|WIKIDATA-1@Q34828152
DATAGOV-22228@175000,牛埔溪,,
DATAGOV-22228@176000,林邊溪,,WIKIDATA-1@Q6550302
DATAGOV-22228@176010,力力溪,,WIKIDATA-1@Q21127227
DATAGOV-22228@177000,佳冬溪,,
DATAGOV-22228@178000,北勢溪,,
DATAGOV-22228@179000,率芒溪,,WIKIDATA-1@Q17040634
DATAGOV-22228@180000,南湖溪,,
DATAGOV-22228@181000,十里溪,,
