fid_master,name,fid_link,guess_link
ORG-1@613,塔蓮溝支線,,
ORG-1@614,龍虎?坑排水,,
ORG-1@615,鐮仔坑排水,,
ORG-1@616,樹玉碑排水,,
ORG-1@617,中興段排水,,
ORG-1@618,墘溝碑排水,,
ORG-1@619,土城埤支線,,
ORG-1@620,溪底溝排水,,
ORG-1@621,七星排水,,
ORG-1@622,光隆村興隆村共同排水,,
ORG-1@623,坪林排水,,
ORG-1@625,霧峰農校支線,,
ORG-1@626,北溝支線,,
ORG-1@628,車籠埤排水,,
ORG-1@629,頭前溪支線,,
ORG-1@630,山腳巷支線,,
ORG-1@631,萬豐支線,,
ORG-1@632,后溪底排水,,WIKIDATA-1@Q87234657
ORG-1@633,后溪底支線,,
ORG-1@634,興台支線,,
ORG-1@635,溪心埧排水,,
ORG-1@636,溪尾寮排水,,
ORG-1@637,竹林北溪,,
ORG-1@639,清水大排,,
ORG-1@640,牛角坑溝,,
ORG-1@641,龍崗北坑,,
ORG-1@642,龍崗南坑,,
ORG-1@643,竹坑北坑,,
ORG-1@644,十四張圳支線,,
ORG-1@645,土庫溪排水,,
ORG-1@646,大智排水,,
ORG-1@647,下橋子頭排水,,
ORG-1@648,莿仔埔坑排水,,
ORG-1@649,綠川排水,,
ORG-1@651,林厝排水,,
ORG-1@652,鹿耳門排水,,WIKIDATA-1@Q87220889
ORG-1@653,土城仔排水,,WIKIDATA-1@Q87223703
ORG-1@654,竹筏港之一排水,,WIKIDATA-1@Q87224367
ORG-1@655,竹筏港之二排水,,WIKIDATA-1@Q87224558
ORG-1@656,學甲寮排水,,WIKIDATA-1@Q87219141
ORG-1@657,本淵寮排水,,
ORG-1@658,海尾寮排水,,
ORG-1@659,新吉排水,,
ORG-1@660,溪心寮排水,,
ORG-1@661,土城子一之二排水,,WIKIDATA-1@Q87224999
ORG-1@662,日新溪排水,,
ORG-1@663,外塭子中排二,,
ORG-1@664,喜樹五號排放渠,,
ORG-1@665,三號排水路,,
ORG-1@666,馬稠後大排,,
ORG-1@667,崩埤排水一,,
ORG-1@668,崩埤排水二,,
ORG-1@669,菁寮排水,,
ORG-1@670,長短樹排水,,
ORG-1@671,後壁排水,,
ORG-1@672,後鎮排水,,
ORG-1@673,下茄苳排水,,
ORG-1@674,烏樹林排水,,
ORG-1@675,許秀才排水,,
ORG-1@676,木柵中排,,
ORG-1@677,吉貝耍排水,,
ORG-1@678,科里排水,,
ORG-1@679,東山大排,,
ORG-1@680,北馬排水,,
ORG-1@681,竹門大排,,
ORG-1@682,大腳腿排水,,
ORG-1@683,五軍營排水,,
ORG-1@684,龜子港排水,,
ORG-1@685,八老爺排水,,
ORG-1@686,南八老爺排水,,
ORG-1@687,岐頭1號排水路,,
ORG-1@688,岐頭2號排水路,,
ORG-1@689,赤崁1號排水路,,
ORG-1@690,赤崁2號排水路,,
ORG-1@691,瓦硐2號排水路,,
ORG-1@692,後寮1號排水路,,
ORG-1@693,東安1號排水路,,
ORG-1@694,西安2號排水路,,
ORG-1@695,中社1號排水路,,
ORG-1@696,水垵3號排水路,,
ORG-1@697,西湖1號排水路,,
ORG-1@698,西湖2號排水路,,
ORG-1@699,海豐1號排水路,,
ORG-1@700,平和1號排水路,,
ORG-1@701,外垵1號排水路,,
ORG-1@702,外垵2號排水路,,
ORG-1@703,港子1號排水,,
ORG-1@704,港子2號排水,,
ORG-1@705,西湖區排,,
ORG-1@706,青岐區排,,
ORG-1@707,楊厝區排,,
ORG-1@708,后井區排,,
ORG-1@709,東林區排,,
ORG-1@710,后頭區排,,
ORG-1@711,埔頭區排,,
ORG-1@712,東沙溪區排,,
ORG-1@713,古崗湖區排,,
ORG-1@714,金水溪區排,,
ORG-1@715,古區區排(浚仔溝區排),,
ORG-1@716,西海路區排,,
ORG-1@717,后豐港區排,,
ORG-1@718,體育館區排,,
ORG-1@719,鳳尾溝區排,,
ORG-1@720,頂埔下區排,,
ORG-1@721,后垵溪區排,,
ORG-1@722,湖下區排,,
ORG-1@723,湖尾區排,,
ORG-1@724,下堡區排(頂堡溝),,
ORG-1@725,后盤區排,,
ORG-1@726,后沙區排,,
ORG-1@727,后湖區排,,
ORG-1@728,浦邊區排,,
ORG-1@729,忠孝新村區排,,
ORG-1@730,英坑區排,,
ORG-1@731,山后區排,,
ORG-1@732,蘭湖區排(小徑區排),,
ORG-1@733,珩厝區排,,
ORG-1@734,瓊林區排,,
ORG-1@735,后壟區排,,
ORG-1@736,蓮庵區排,,
ORG-1@737,山外溪區排,,
ORG-1@738,夏興區排,,
ORG-1@739,尚義區排,,
ORG-1@740,光前溪,,
ORG-1@741,斗門溪,,
ORG-1@742,金沙溪,,
ORG-1@743,慈湖農莊,,
ORG-1@772,七嘉排水支線,,
ORG-1@773,月眉排水支線,,
ORG-1@774,寮仔地溝排水幹線,,
ORG-1@775,什股排水幹線,,
ORG-1@776,草湖排水支線,,
ORG-1@777,田尾排水幹線,,
ORG-1@778,泉州排水支線,,
ORG-1@779,溪口厝排水支線,,
ORG-1@780,蚵寮排水支線,,
ORG-1@781,寓埔排水幹線,,
ORG-1@782,頂庄排水支線,,
ORG-1@783,口厝排水二號支線,,
ORG-1@784,口厝排水一號支線,,
ORG-1@785,七分溝排水支線,,
ORG-1@786,番雅溝排水幹線,,
ORG-1@787,溫仔排水支線,,
ORG-1@788,頭前厝排水支線,,
ORG-1@789,和美排水支線,,
ORG-1@790,竹圍子排水支線,,
ORG-1@791,樹子腳排水支線,,
ORG-1@792,詔安厝排水支線,,
ORG-1@793,崙尾第二排水幹線,,
ORG-1@794,崙尾二排支線,,
ORG-1@795,崙尾第一排水幹線,,
ORG-1@796,牛路溝排水幹線,,
ORG-1@797,頭崙埔排水幹線,,
ORG-1@798,洋子厝溪排水幹線,,
ORG-1@799,舊洋子厝溪排水支線,,
ORG-1@800,麻剪溝排水分線,,
ORG-1@801,安東二排支線,,
ORG-1@802,安東一排分線,,
ORG-1@803,馬鳴排水次分線,,
ORG-1@804,石笱排水支線,,
ORG-1@805,板本排水分線,,
ORG-1@806,加錫排水分線,,
ORG-1@807,茄苳林排水分線,,
ORG-1@808,大村排水分線,,
ORG-1@809,過溝排水,,
ORG-1@810,埔潭排水,,
ORG-1@811,三家春排水分線,,
ORG-1@812,舊東山排水分線,,
ORG-1@813,新東山排水分線,,
ORG-1@814,鎮興排水分線,,
ORG-1@815,馬興排水支線,,
ORG-1@816,西門口排水支線,,
ORG-1@817,莿桐腳排水支線,,
ORG-1@818,大埔截水溝支線,,
ORG-1@819,白沙坑排水分線,,
ORG-1@820,花壇排水支線,,
ORG-1@821,崙雅排水分線,,
ORG-1@822,埤底排水分線,,
ORG-1@823,海埔厝排水幹線,,
ORG-1@824,顏厝排水幹線,,
ORG-1@825,南分圳排水支線,,
ORG-1@826,港後排水支線,,
ORG-1@827,鹿港鹽場排水幹線,,
ORG-1@828,鹿港排水幹線,,
ORG-1@829,員林大排水幹線,,
ORG-1@830,秀厝排水支線,,
ORG-1@831,同安排水支線,,
ORG-1@832,橋頭二排支線,,
ORG-1@833,中興排水支線,,
ORG-1@834,橋頭一排分線,,
ORG-1@835,番社排水支線,,
ORG-1@836,外中排水分線,,
ORG-1@837,大有排水支線,,
ORG-1@838,下崙排水支線,,
ORG-1@839,大崙排水支線,,
ORG-1@840,東溝排水支線,,
ORG-1@841,羅厝排水分線,,
ORG-1@842,南館排水次分線,,
ORG-1@843,竹子腳排水分線,,
ORG-1@844,湳港西排水分線,,
ORG-1@845,許厝分線,,
ORG-1@846,二重湳第二排水支線,,
ORG-1@847,埔心排水支線,,
ORG-1@848,瓦瑤厝排水支線,,
ORG-1@849,陳厝厝排水支線,,
ORG-1@850,五汴頭排水分線,,
ORG-1@851,永興排水分線,,
ORG-1@852,湳底二中排支線,,
ORG-1@853,溝皂排水支線,,
ORG-1@854,崙子排水支線,,
ORG-1@855,湳雅排水支線,,
ORG-1@856,南雅坑排水支線,,
ORG-1@857,許厝寮排水分線,,
ORG-1@858,石頭公排水次分線,,
ORG-1@859,舊社排水分線,,
ORG-1@860,清水岩排水次分線,,
ORG-1@861,太平坑排水次分線,,
ORG-1@862,卓乃潭排水支線,,
ORG-1@863,二港排水幹線,,
ORG-1@864,松光排水幹線,,
ORG-1@865,洪堀寮排水支線,,
ORG-1@866,下寮排水支線,,
ORG-1@867,舊濁水溪排水幹線,,
ORG-1@868,元興排水支線,,
ORG-1@869,埔鹽排水支線,,
ORG-1@870,太康排水,,
ORG-1@871,山子腳排水,,
ORG-1@872,港子頭排水,,
ORG-1@873,牛?排水,,
ORG-1@874,果毅後排水,,
ORG-1@875,田寮排水,,
ORG-1@876,新田寮排水,,
ORG-1@877,竹子腳排水,,
ORG-1@878,角帶圍中排,,
ORG-1@879,太子宮中排,,
ORG-1@880,岸內排水,,
ORG-1@881,羊稠厝排水,,
ORG-1@882,鹽水排水,,
ORG-1@883,鹽水南線排水,,
ORG-1@884,卯舍中排,,
ORG-1@885,頭港排水,,
ORG-1@886,西埔中排,,
ORG-1@887,大灣中排,,
ORG-1@888,蔥子寮排水,,
ORG-1@889,蔥子寮中排,,
ORG-1@890,海埔排水,,
ORG-1@891,北麻豆口中排,,
ORG-1@892,佳里排水支線,,
ORG-1@893,蘇厝寮中排一,,
ORG-1@894,頂寮中排一,,
ORG-1@895,三吉中排一,,
ORG-1@896,頂寮中排五,,
ORG-1@897,南下營中排二,,
ORG-1@898,六成中排一,,
ORG-1@899,劉厝中排二,,
ORG-1@900,大灣小排二,,
ORG-1@901,學甲排水,,
ORG-1@902,瓦寮排水,,
ORG-1@903,北學甲排水,,
ORG-1@904,三寮灣堤外線排水,,
ORG-1@905,鹽原排水,,
ORG-1@907,巷口中排四,,
ORG-1@908,麻豆排水,,
ORG-1@909,海埔中排,,
ORG-1@910,營後排水,,
ORG-1@911,養魚排水,,
ORG-1@912,大埤中排二,,
ORG-1@913,大屯中排,,
ORG-1@914,埤頭排水,,
ORG-1@915,總爺排水,,
ORG-1@916,下營排水,,
ORG-1@917,北頂中排,,
ORG-1@918,子良廟排水,,
ORG-1@919,謝厝寮中排一,,
ORG-1@920,東豐中排一,,
ORG-1@921,大埤中排一,,
ORG-1@922,大埤中排三,,
ORG-1@923,急水溪排水,,
ORG-1@924,頂港中排一,,
ORG-1@925,東北勢排水,,
ORG-1@926,官田中排,,
ORG-1@927,角秀小排四,,
ORG-1@928,南?排水,,
ORG-1@929,山子腳排水,,
ORG-1@930,玉山中排二,,
ORG-1@931,漚汪排水,,
ORG-1@932,大寮排水,,
ORG-1@933,後港排水,,
ORG-1@934,後港中排三,,
ORG-1@935,六成排水,,
ORG-1@938,七股排水,,
ORG-1@939,篤加排水,,
ORG-1@940,義合中排,,
ORG-1@941,東三股中排,,
ORG-1@942,西港排水,,
ORG-1@943,湖山排水,,
ORG-1@944,溪尾排水,,
ORG-1@945,六分寮中排二,,
ORG-1@946,苓子林中排,,
ORG-1@947,六分寮中排一,,
ORG-1@948,安定排水,,
ORG-1@949,山上排水,,
ORG-1@950,新吉排水,,
ORG-1@951,下洲子中排一,,
ORG-1@952,下洲子中排二,,
ORG-1@953,衛生一號排水,,
ORG-1@954,後營排水,,
ORG-1@955,新市排水,,
ORG-1@956,大社排水,,
ORG-1@957,三舍排水,,
ORG-1@958,座駕排水,,
ORG-1@960,烏鬼厝溪排水,,
ORG-1@961,五甲勢排水,,
ORG-1@962,看西排水,,
ORG-1@963,土庫溝排水,,
ORG-1@964,太子廟中排,,
ORG-1@965,港尾溝溪排水,,
ORG-1@966,沙崙-武東窩仔底排水,,
ORG-1@967,大甲排水,,
ORG-1@968,瓦瑤排水分線,,
ORG-1@969,東寮排水分線,,
ORG-1@970,四塊厝排水分線,,
ORG-1@971,銀錠排水次分線,,
ORG-1@972,三塊厝排水分線,,
ORG-1@973,阿力支線,,
ORG-1@974,溪湖埔鹽排水支線,,
ORG-1@975,大突排水分線,,
ORG-1@976,北勢尾排水分線,,
ORG-1@977,挖子支線,,
ORG-1@978,溪湖排水支線,,
ORG-1@979,西勢厝排水分線,,
ORG-1@980,頂庄排水分線,,
ORG-1@981,崙子腳排水分線,,
ORG-1@982,三塊厝排水分線,,
ORG-1@983,海豐崙排水,,
ORG-1@984,打簾排水次分線,,
ORG-1@985,舊眉排水支線,,
ORG-1@986,東州排水分線,,
ORG-1@987,清水溪排水支線,,
ORG-1@988,中和排水分線,,
ORG-1@989,田中排水分線,,
ORG-1@990,田中央排水,,
ORG-1@991,睦宜排水分線,,
ORG-1@992,大新排水分線,,
ORG-1@993,中圳排水分線,,
ORG-1@994,北斗排水支線,,
ORG-1@995,西畔排水支線,,
ORG-1@996,內三排水支線,,
ORG-1@997,福寶環排幹線,,
ORG-1@998,八洲排水幹線,,
ORG-1@999,八洲排水支線,,
ORG-1@1000,海尾第一排水幹線,,
ORG-1@1001,海尾第二排水幹線,,
ORG-1@1002,十三戶第一排水幹線,,
ORG-1@1003,十三戶第二排水幹線,,
ORG-1@1004,十三戶第三排水幹線,,
ORG-1@1006,南八洲排水支線,,
ORG-1@1007,崙腳排水支線,,
ORG-1@1008,草湖排水分線,,
ORG-1@1009,建平排水,,
ORG-1@1010,第四放水路支線,,
ORG-1@1011,柳子溝排水支線,,
ORG-1@1012,永興排水支線,,
ORG-1@1013,十三甲排水支線(永豐排水),,
ORG-1@1014,小埔心排水分線,,
ORG-1@1015,新寶排水幹線,,
ORG-1@1016,新寶排水支線,,
ORG-1@1017,舊趙甲排水幹線,,
ORG-1@1018,崙腳寮排水支線,,
ORG-1@1019,王功寮第一排水支線,,
ORG-1@1020,王功寮第二排水支線,,
ORG-1@1021,下萬合排水支線,,
ORG-1@1022,王功排水幹線,,
ORG-1@1023,五俊排水支線,,
ORG-1@1024,埤腳排水,,
ORG-1@1025,二林溪排水幹線,,
ORG-1@1026,後寮排水支線,,
ORG-1@1027,牛墟排水支線,,
ORG-1@1028,犁頭厝排水支線,,
ORG-1@1029,塗人厝排水分線,,
ORG-1@1030,福建排水分線,,
ORG-1@1031,源成排水支線,,
ORG-1@1032,面前二排分線,,
ORG-1@1033,漏瑤排水分線,,
ORG-1@1034,東華排水次分線,,
ORG-1@1035,五庄第一分線,,
ORG-1@1036,竹圍子排水分線,,
ORG-1@1037,庄內排水分線,,
ORG-1@1038,巷子溝排水支線,,
ORG-1@1039,面前三排分支線,,
ORG-1@1040,竹塘排水分線,,
ORG-1@1041,大彎排水分線,,
ORG-1@1042,田頭排水分線,,
ORG-1@1043,樹腳排水分線,,
ORG-1@1044,芳苑二排水幹線,,
ORG-1@1045,芳苑一排支線,,
ORG-1@1046,新街排水幹線,,
ORG-1@1047,過湖排水幹線,,
ORG-1@1048,外五間寮排水,,
ORG-1@1049,魚寮溪排水幹線,,
ORG-1@1050,大城排水支線,,
ORG-1@1051,廣興排水支線,,
ORG-1@1052,管士厝支線,,
ORG-1@1053,溝頭支線,,
ORG-1@1054,南二幹發行分線,,
ORG-1@1055,下海墘排水幹線,,
ORG-1@1056,頂庄排水支線,,
ORG-1@1057,台西排水支線,,
ORG-1@1058,溪州大排幹線,,
ORG-1@1059,溪墘厝排水支線,,
ORG-1@1060,第二放水路排水幹線,,
ORG-1@1061,潮洋一排支線,,
ORG-1@1062,縣庄排水幹線,,
ORG-1@1063,溪頭下埤排水支線,,
ORG-1@1064,豬母乳坑排水幹線,,
ORG-1@1065,下山坑排水幹線,,
ORG-1@1067,六塊寮排水,,
ORG-1@1069,內江排水,,
ORG-1@1070,大內排水,,
ORG-1@1071,石子瀨排水,,
ORG-1@1072,渡子頭溪排水,,
ORG-1@1073,上崙排水,,
ORG-1@1074,後堀排水,,
ORG-1@1075,紅茄定排水,,
ORG-1@1076,下溪洲排水,,
ORG-1@1077,錦湖排水,,
ORG-1@1078,永隆溝排水,,
ORG-1@1079,鹽田排水,,
ORG-1@1080,三寮灣部落排水,,
ORG-1@1081,菁埔埤排水,,
ORG-1@1082,番子田排水,,
ORG-1@1083,永康排水,,
ORG-1@1084,大灣排水,,
ORG-1@1085,仁德排水,,
ORG-1@1086,一甲排水,,
ORG-1@1087,瓦瑤埤排水,,
ORG-1@1088,橋頭港埤排水,,
ORG-1@1089,東河排水,,
ORG-1@1090,桔子溪排水,,
ORG-1@1091,東豐小排三,,
ORG-1@1093,啟聰溝排水,,
ORG-1@1096,南保排水,,
ORG-1@1097,六塊寮排水,,
ORG-1@1099,涵口圳,,WIKIDATA-1@Q87220830
ORG-1@1100,通地溝排水,,
ORG-1@1101,茄萣排水,,
ORG-1@1102,湖內排水,,WIKIDATA-1@Q87221418
ORG-1@1103,大湖埤排水,,
ORG-1@1104,竹仔港排水,,
ORG-1@1106,陷後坑排水,,
ORG-1@1107,營前排水,,
ORG-1@1108,北嶺墘排水,,
ORG-1@1109,草溝排水,,
ORG-1@1110,五甲尾排水,,
ORG-1@1111,潭底排水,,
ORG-1@1112,田厝排水,,
ORG-1@1113,老公堀排水,,
ORG-1@1114,九鬮排水,,
ORG-1@1115,中甲排水,,
ORG-1@1116,為隨排水,,
ORG-1@1117,中路排水,,
ORG-1@1118,鹽埕排水,,
ORG-1@1119,海尾排水,,WIKIDATA-2@Q49250406
ORG-1@1120,漯底排水,,
ORG-1@1121,援中港第一支線,,
ORG-1@1122,援中港中排,,
ORG-1@1123,角宿支線,,
ORG-1@1124,牛食坑支線,,
ORG-1@1125,鳳山厝支線,,
ORG-1@1126,潭子底排水,,
ORG-1@1127,石螺潭排水,,
ORG-1@1128,大遼排水,,
ORG-1@1129,筆秀排水,,
ORG-1@1130,橫山排水,,
ORG-1@1131,保舍甲排水,,
ORG-1@1132,三奶壇排水,,
ORG-1@1133,中里排水,,
ORG-1@1134,大社排水,,
ORG-1@1135,吊雞林排水,,
ORG-1@1136,瓊林排水,,
ORG-1@1137,後勁溪排水,,
ORG-1@1138,楠梓排水,,
ORG-1@1139,外埔排水,,
ORG-1@1140,竹子門排水,,
ORG-1@1141,獅龍溪排水,,
ORG-1@1142,仁武排水,,
ORG-1@1143,考潭排水,,
ORG-1@1144,竹後排水,,
ORG-1@1145,後庄排水,,WIKIDATA-1@Q87234298
ORG-1@1146,前埔厝排水,,
ORG-1@1147,烏林排水,,
ORG-1@1148,仁福排水,,
ORG-1@1149,文武排水,,
ORG-1@1150,十九灣排水,,
ORG-1@1151,九番埤排水,,
ORG-1@1152,七番埤排水,,
ORG-1@1153,北屋排水,,
ORG-1@1154,五和排水,,
ORG-1@1155,本館排水,,
ORG-1@1156,鳳山溪排水,,
ORG-1@1157,牛寮排水,,
ORG-1@1158,過埤排水,,
ORG-1@1159,?埔排水,,
ORG-1@1160,山仔頂排水,,
ORG-1@1161,鳳山圳,,
ORG-1@1162,仁美排水,,
ORG-1@1163,湖底排水,,
ORG-1@1164,貓羅坑排水幹線,,
ORG-1@1165,竹林坑排水幹線,,
ORG-1@1166,舊社坑排水幹線,,
ORG-1@1167,界坑排水幹線,,
ORG-1@1168,石牌坑排水幹線,,
ORG-1@1169,快官排水幹線,,
ORG-1@1170,彰化山寮排水幹線,,
ORG-1@1171,大竹坑排水支線,,
ORG-1@1172,番社口坑排水分線,,
ORG-1@1173,大竹排水幹線,,
ORG-1@1174,竹子腳排水幹線,,
ORG-1@1175,濁水排水,,
ORG-1@1176,大埔排水分線,,
ORG-1@1177,埤仔頭排水,,
ORG-1@1178,頂西港排水幹線,,
ORG-1@1179,掃帚旗坑銜接水路,,
ORG-1@1180,三塊厝排水次分線,,
ORG-1@1181,潮洋第二排水支線,,
ORG-1@1182,中西排水支線,,
ORG-1@1183,大同排水,,
ORG-1@1184,太平二排截流溝,,
ORG-1@1185,樹子腳大排,,WIKIDATA-1@Q87230336
ORG-1@1186,大義崙大排,,
ORG-1@1187,新庄子大排,,
ORG-1@1188,西螺大排,,
ORG-1@1189,舊頂埤頭大排,,
ORG-1@1190,社口中排二,,
ORG-1@1191,甘厝大排,,
ORG-1@1192,八角亭大排,,
ORG-1@1193,洲仔中排,,
ORG-1@1194,中央排水,,WIKIDATA-1@Q87238148
ORG-1@1195,八角亭第二放水路,,
ORG-1@1196,田尾大排,,
ORG-1@1197,二崙大排,,
ORG-1@1198,湳仔大排,,
ORG-1@1199,雷厝大排,,
ORG-1@1200,草湖中排,,
ORG-1@1201,施厝寮大排,,
ORG-1@1202,新吉中排,,
ORG-1@1203,橋頭排水,,
ORG-1@1204,大有大排一,,
ORG-1@1205,西麥寮排水,,
ORG-1@1206,崙背大排,,
ORG-1@1207,崗子背大排,,
ORG-1@1208,新庄子大排,,
ORG-1@1209,環機場排水一,,
ORG-1@1210,環機場排水二,,
ORG-1@1211,港尾大排,,
ORG-1@1212,過溪子大排,,
ORG-1@1213,山子大排,,
ORG-1@1214,埒內排水,,
ORG-1@1215,清水港大排,,
ORG-1@1216,莿桐中排,,
ORG-1@1217,新庄子排水,,
ORG-1@1218,有才寮大排,,
ORG-1@1219,蚊港大排,,
ORG-1@1220,新興中排一,,
ORG-1@1221,西安中排,,
ORG-1@1222,新湖大排,,
ORG-1@1223,山子腳中排,,
ORG-1@1224,火燒牛稠大排,,
ORG-1@1225,海口大排,,
ORG-1@1226,馬公厝大排,,
ORG-1@1227,東勢厝大排,,
ORG-1@1228,海豐大排,,
ORG-1@1229,舊許厝中排,,
ORG-1@1231,林厝寮大排二,,
ORG-1@1232,圳頭中排三,,
ORG-1@1233,大荖大排,,
ORG-1@1234,石廟子大排,,
ORG-1@1235,三合大排,,
ORG-1@1236,棋盤厝大排,,
ORG-1@1237,林厝寮大排一,,
ORG-1@1238,溪子崙大排,,
ORG-1@1239,下崙大排一,,
ORG-1@1240,箔子寮大排,,
ORG-1@1241,下崙大排二,,
ORG-1@1242,羊稠厝大排,,
ORG-1@1243,飛沙大排,,
ORG-1@1244,外埔大排,,WIKIDATA-2@Q49270577
ORG-1@1245,內湖大排,,
ORG-1@1246,新港大排二,,
ORG-1@1247,新港大排一,,
ORG-1@1248,蚶子寮大排一,,
ORG-1@1249,牛挑灣溪,,
ORG-1@1250,鵝尾墩排水,,
ORG-1@1251,宜梧大排,,
ORG-1@1252,牛尿港大排,,
ORG-1@1253,四湖大排,,
ORG-1@1254,萬興大排,,
ORG-1@1255,牛挑灣大排,,
ORG-1@1256,春牛埔大排,,
ORG-1@1257,山子內大排,,
ORG-1@1258,頂寮大排,,
ORG-1@1259,尖山大排,,
ORG-1@1260,蔦松大排,,WIKIDATA-2@Q49264280
ORG-1@1261,蕃薯厝大排,,
ORG-1@1262,大樹排水,,
ORG-1@1263,大坑排水,,
ORG-1@1264,林園排水,,
ORG-1@1265,姑婆寮排水,,
ORG-1@1266,拷潭排水,,
ORG-1@1267,前庄排水,,
ORG-1@1268,大寮排水,,
ORG-1@1269,上寮排水,,
ORG-1@1270,中芸排水,,
ORG-1@1271,中坑門排水,,
ORG-1@1272,港子埔排水,,
ORG-1@1273,福安排水,,
ORG-1@1274,竹子門排水,,
ORG-1@1275,美濃湖排水,,
ORG-1@1276,嘉興小排,,
ORG-1@1277,潭底A小排,,
ORG-1@1278,菜寮溝排水,,
ORG-1@1280,街尾崙排水,,
ORG-1@1281,內寮河排水,,
ORG-1@1282,埔溝排水,,
ORG-1@1283,下坑中排,,
ORG-1@1284,後鄉排水,,
ORG-1@1285,鴨母寮排水,,
ORG-1@1286,客人埤排水,,
ORG-1@1287,曹公新圳排水,,
ORG-1@1288,竹寮排水,,
ORG-1@1289,黑瓦窯排水,,
ORG-1@1290,鯤洲排水,,
ORG-1@1291,溪洲排水,,
ORG-1@1292,北溝排水,,
ORG-1@1293,永安工業區區內及區外排水,,
ORG-1@1294,番仔溝排水,,
ORG-1@1295,月世界排水,,
ORG-1@1296,中坑排水,,
ORG-1@1297,美濃排水,,
ORG-1@1298,永安支線排水,,
ORG-1@1299,永新支線排水,,
ORG-1@1300,鹽埕排水,,
ORG-1@1302,旗山區第五號排水,,
ORG-1@1303,舊港排水,,
ORG-1@1304,舊港西側排水,,
ORG-1@1305,潮州寮排水,,
ORG-1@1306,山湖排水,,
ORG-1@1307,水寮分線一,,
ORG-1@1308,水寮分線二,,
ORG-1@1309,舊?埔排水,,
ORG-1@1310,林子邊排水,,
ORG-1@1311,戰車壕溝排水,,
ORG-1@1312,劉庄排水,,
ORG-1@1313,愛河排水,,
ORG-1@1314,鼓山運河排水,,
ORG-1@1316,清水排水,,
ORG-1@1317,羌子寮溪排水,,
ORG-1@1318,東門排水,,
ORG-1@1319,鹽水港溪排水,,
ORG-1@1320,寶珠溝排水,,
ORG-1@1321,後壁厝排水幹線,,
ORG-1@1322,海方厝排水幹線,,
ORG-1@1323,海湖排水幹線,,
ORG-1@1324,瓦窯溝排水幹線,,
ORG-1@1325,番子溝排水幹線,,
ORG-1@1326,土地公排水幹線,,
ORG-1@1327,貓尾崎排水幹線,,
ORG-1@1328,大坑溪排水幹線,,
ORG-1@1329,番子窩排水幹線,,
ORG-1@1330,楓樹溪排水幹線,,
ORG-1@1331,舊路溪排水幹線,,
ORG-1@1332,霄裡溪排水幹線,,
ORG-1@1333,連城溪排水幹線,,
ORG-1@1334,皮寮溪幹線,,
ORG-1@1335,埔心溪排水幹線,,
ORG-1@1336,新街溪排水幹線,,
ORG-1@1337,洽溪幹線,,
ORG-1@1338,東勢溪幹線,,
ORG-1@1339,上?榔溪幹線,,
ORG-1@1340,東明溪幹線,,
ORG-1@1341,三七北圳幹線,,
ORG-1@1342,秀才窩幹線,,
ORG-1@1343,老坑溪幹線,,
ORG-1@1344,頭重溪幹線,,
ORG-1@1345,三七南圳幹線,,
ORG-1@1346,蚵間一號直排入海二號,,
ORG-1@1347,永福溪幹線,,
ORG-1@1348,街口溪幹線,,
ORG-1@1349,觀音溪幹線,,
ORG-1@1350,三坑溪幹線,,
ORG-1@1351,打鐵溪幹線,,
ORG-1@1352,二坪溪幹線,,
ORG-1@1353,徐厝排水幹線,,
ORG-1@1354,龍南幹線,,
ORG-1@1355,大坑坎幹線,,
ORG-1@1356,雙溪口溪幹線,,
ORG-1@1357,東門溪排水幹線,,
ORG-1@1358,上中福支線,,
ORG-1@1359,下中福支線,,
ORG-1@1360,新街大排,,
ORG-1@1361,府番大排,,
ORG-1@1362,客子厝大排,,
ORG-1@1363,奮起大排,,
ORG-1@1364,興安大排,,
ORG-1@1365,舊庄大排,,
ORG-1@1366,延潭大排,,
ORG-1@1367,湳仔大排(虎尾區),,
ORG-1@1368,安慶圳大排,,
ORG-1@1369,埤麻大排,,
ORG-1@1370,溪仔圳大排,,
ORG-1@1371,暗港大排,,
ORG-1@1372,豬母溝大排,,
ORG-1@1373,大崙大排,,
ORG-1@1374,高林排水,,
ORG-1@1375,惠來厝大排,,
ORG-1@1376,新興大排,,
ORG-1@1377,十三份排水,,
ORG-1@1378,湖底大排,,
ORG-1@1379,中央排水,,
ORG-1@1380,溪埔子中排,,
ORG-1@1381,山子中排,,
ORG-1@1382,湖頭中排一,,
ORG-1@1383,虎尾中排二,,
ORG-1@1384,山寮大排,,
ORG-1@1385,程海厝大排,,
ORG-1@1386,六塊中排,,
ORG-1@1387,東林厝中排,,
ORG-1@1388,吳厝中排,,
ORG-1@1389,南北溪厝中排,,
ORG-1@1390,飛沙中排,,
ORG-1@1391,烏麻園中排,,
ORG-1@1392,北水林小排五,,
ORG-1@1393,南元長中排,,
ORG-1@1394,北元長中排,,
ORG-1@1395,塭底中排一,,
ORG-1@1396,塭底中排二,,
ORG-1@1397,東瓊埔中排,,
ORG-1@1398,南山腳中排二,,
ORG-1@1399,舊庄中排,,
ORG-1@1400,大東中排,,
ORG-1@1401,雲林溪上游,,
ORG-1@1402,後溝子大排,,
ORG-1@1403,麥津大排,,
ORG-1@1404,十八線中排,,
ORG-1@1405,土銀溝排水,,
ORG-1@1406,十八棟排水,,
