RIVER_NAME,RIVER_TYPE,RIVER_CODE,RIVER_FROM
基隆河,"1","114030110",淡水河
基隆河,"1","114030110",淡水河
基隆河,"1","114030110",淡水河
基隆河,"1","114030110",淡水河
基隆河,"1","114030110",淡水河
基隆河,"1","114030110",淡水河
基隆河,"1","114030110",淡水河
基隆河,"1","114030110",淡水河
基隆河,"1","114030110",淡水河
基隆河,"1","114030110",淡水河
基隆河,"1","114030110",淡水河
基隆河,"1","114030110",淡水河
基隆河,"1","114030110",淡水河
基隆河,"1","114030110",淡水河
基隆河,"1","114030110",淡水河
基隆河,"1","114030110",淡水河
基隆河,"1","114030110",淡水河
基隆河,"1","114030110",淡水河
基隆河,"1","114030110",淡水河
基隆河,"1","114030110",淡水河
基隆河,"1","114030110",淡水河
基隆河,"1","114030110",淡水河
基隆河,"1","114030110",淡水河
基隆河,"1","114030110",淡水河
基隆河,"1","114030110",淡水河
基隆河,"1","114030110",淡水河
基隆河,"1","114030110",淡水河
基隆河,"1","114030110",淡水河
基隆河,"1","114030110",淡水河
基隆河,"1","114030110",淡水河
基隆河,"1","114030110",淡水河
貴水二溪,"5",,
貴水二溪,"5",,
貴子坑溪,"5",,
中港溪,"2","134000220",
中港溪,"2","134000220",
五分港溪,"5",,
五分港溪,"5",,
五分港溪,"5",,
五分港溪,"5",,
五分港溪,"5",,
五分港溪,"5",,
五分港溪,"5",,
外雙溪,"5",,
外雙溪,"5",,
外雙溪,"5",,
外雙溪,"5",,
外雙溪,"5",,
外雙溪,"5",,
外雙溪,"5",,
外雙溪,"5",,
外雙溪,"5",,
外雙溪,"5",,
外雙溪,"5",,
外雙溪,"5",,
外雙溪,"5",,
外雙溪,"5",,
外雙溪,"5",,
基隆河,"1","114030110",淡水河
基隆河,"1","114030110",淡水河
,"5",,
,"5",,
,"5",,
,"5",,
,"5",,
,"5",,
,"5",,
,"5",,
,"5",,
內溝溪,"5",,
內溝溪,"5",,
內溝溪,"5",,
內溝溪,"5",,
內溝溪,"5",,
內溝溪,"5",,
內溝溪,"5",,
,"5",,
,"5",,
,"5",,
基隆河廢河道,"5",,
基隆河廢河道,"5",,
基隆河廢河道,"5",,
基隆河廢河道,"5",,
,"5",,
內溝溪,"5",,
內溝溪,"5",,
內溝溪,"5",,
內溝溪,"5",,
內溝溪,"5",,
內溝溪,"5",,
,"5",,
,"5",,
,"5",,
