ID,Debrisno,Area_ha,Centroid_X,Centroid_Y,Debrisno_o
110,宜縣DF018,71.91,334920,2755576,宜蘭A112
111,宜縣DF021,9.53,332538,2751683,宜蘭A109
112,宜縣DF022,264.6,329196,2750404,宜蘭A108
113,宜縣DF031,94.86,320595,2742877,宜蘭036
114,宜縣DF032,62.04,319822,2742851,宜蘭035
115,宜縣DF033,76.6,319132,2743118,宜蘭034
116,宜縣DF034,214.09,318101,2743765,宜蘭033
117,宜縣DF035,182.38,317413,2743694,宜蘭032
118,宜縣DF027,7.57,326037,2747471,宜蘭A105
119,宜縣DF028,190.79,325431,2748534,宜蘭A104
120,宜縣DF024,102.66,327834,2748366,宜蘭038
121,宜縣DF025,98.1,327163,2748209,宜蘭A106
122,宜縣DF023,431.58,327778,2749577,宜蘭A107
123,宜縣DF136,18.88,328419,2748662,宜蘭G98-03
124,宜縣DF137,15.23,325081,2746144,宜蘭G98-02
125,宜縣DF138,305.63,323814,2745542,宜蘭G98-01
126,宜縣DF030,274.94,321706,2745962,宜蘭A102
127,宜縣DF145,202.88,320660,2746160,宜縣G106-4
128,宜縣DF026,22.78,327151,2747800,宜蘭037
129,宜縣DF029,83.85,324206,2744338,宜蘭A103
130,宜縣DF107,35.96,336621,2718473,宜蘭A055
131,宜縣DF108,59.49,335093,2719934,宜蘭A056
132,宜縣DF109,21.5,334382,2719455,宜蘭A059
133,宜縣DF110,5.61,335193,2719368,宜蘭A058
134,宜縣DF111,3.28,335362,2719334,宜蘭A057
135,宜縣DF112,13.18,334842,2717927,宜蘭A060
136,宜縣DF113,20.83,335026,2717497,宜蘭A061
137,宜縣DF141,13.86,334802,2719541,宜縣G99-10
138,宜縣DF142,4.22,334796,2719368,宜縣G99-8
139,宜縣DF148,237.68,334600,2709400,宜縣G106-5
140,宜縣DF101,10.13,336841,2720097,宜蘭A054
141,宜縣DF100,9.2,337777,2718918,宜蘭A062
142,宜縣DF114,102.01,333707,2708893,宜蘭A066
143,宜縣DF115,367.18,333098,2708148,宜蘭G97-72
144,宜縣DF116,17.7,333866,2707653,宜蘭A067
145,宜縣DF117,23.8,330019,2704558,宜蘭A068
146,宜縣DF106,117.51,333720,2720193,宜蘭003
147,宜縣DF103,26.87,335269,2722066,宜蘭A052
148,宜縣DF104,89.8,333428,2721655,宜蘭A051
149,宜縣DF105,33.12,333858,2720931,宜蘭002
150,宜縣DF102,13.96,336098,2721991,宜蘭A053
151,基市DF012,16.37,316672,2778170,台北A261
152,基市DF016,17.89,320606,2773802,台北A264
153,基市DF018,6.15,323082,2775313,台北A262
154,基市DF017,4.13,321696,2774454,台北A263
155,基市DF010,28.1,317468,2780221,台北A256
156,基市DF011,16.16,317999,2779750,台北A257
157,基市DF013,12.12,319602,2777308,台北A258
158,基市DF014,37.37,320683,2777602,台北A260
159,基市DF015,20.85,320217,2777899,台北A259
160,基市DF002,18.97,322060,2783541,台北A238
161,基市DF003,9.05,322426,2781964,台北A239
162,基市DF001,22.66,322866,2783851,台北A241
163,基市DF032,3.8,328031,2781828,台北A243
164,基市DF034,5.58,330991,2780359,台北A244
165,基市DF033,19.71,328316,2782155,台北A242
166,基市DF025,2.05,324397,2779287,台北A250
167,基市DF026,10.74,324632,2779061,台北A251
168,基市DF004,20.3,321471,2783845,台北A237
169,基市DF005,8.6,320805,2784585,台北A235
170,基市DF006,13.44,320706,2784294,台北A236
171,基市DF007,59.97,318976,2783372,台北A233
172,基市DF008,7.06,319609,2783275,台北A234
173,基市DF009,7.25,322037,2781808,台北A240
174,基市DF030,7.92,327600,2779870,台北A246
175,基市DF031,9.28,327884,2779742,台北A245
176,基市DF029,8.03,327373,2779800,台北A247
177,基市DF028,6.76,326986,2779755,台北A248
178,基市DF027,7.75,326876,2779674,台北A249
